ID	Label	Definition	Editor	Type	Synonym 1	Synonym 1 Citations	Synonym 2	Synonym 2 Citations	Synonym 3	Synonym 3 Citations	Defined by	Parent Class    	Domain	Range
ID	LABEL	A obo:IAO_0000115	A obo:IAO_0000117	TYPE	A go:oboInOwl#hasExactSynonym SPLIT=|	>A obo:IAO_0000119 SPLIT=|	A go:oboInOwl#hasExactSynonym SPLIT=|	>A obo:IAO_0000119 SPLIT=|	A go:oboInOwl#hasExactSynonym SPLIT=|	>A obo:IAO_0000119 SPLIT=|	AI obo:IAO_0000119	SC %            	DOMAIN	RANGE
phytolith:PHYTOLITH_0000007	blocky	Blocky encompasses compact, heavily built, solid phytoliths with length/width <2, and width and thickness roughly equal. In 3-D perspective the overall shape resembles a parallelepiped (a 6-faced parallelogram), although there can be more faces. The faces may be flat, slightly convex or concave. The edges of the faces are sharp or blunt. From a 2-D perspective some blocky present four or more sides. Some blocky have projections at the edges, ridges, facets or  protrusions that may appear as dentate margins in certain views. They may also show slightly uneven or velloate edges corresponding to the intersection of formerly adjacent cells. Surfaces can  be psilate, granulate, or columellate.	Celine Kerfant		Rectangles/Squares plus some bulliforms cells	Mulholland and Rapp, 1992	Blocky  polyhedron	Bozarth, 1993, Fig. 2a	Polyhedral	Sase and Hosono, 2001, Fig. 1, Last Glacial  Phytolith (14-15); Last Interglacial Phytoliths (12-13)	ICPN2.0	phytolith		
phytolith:PHYTOLITH_0000008	bulliform flabellate	Heavily built, solid phytolith, tabular, flabellate. The lower part of this fan-shaped morphotype is markedly narrower than the upper part. The outline of the upper part is generally convex and may be facetate. In some cases, the top of the upper part can be truncated, resulting in a flat to concave face. The sides of the lower part can be straight to concave. The outline of the base can be straight to typically convex. The phytolith is often symmetrical along an axis from top to base [vertical length (VL); Fujiwara, 1993], but can also be asymmetrical. The surface is typically psilate. For definitions of the different lengths used to measure this morphotype see also Fujiwara (1993).	Celine Kerfant		Bulliform cells, Category 50	Pearsall and Dinan, 1992, 41, Fig. 3.1A	Motor cell silica body	Fujiwara, 1993, Figs. 2-6, 8-10, 15, 18	Keystone bulliform cells	Pearsall et al., 1995		phytolith		
phytolith:PHYTOLITH_0000009	elongate entire	Elongate entire has an overall rectilinear 2D outline and highly variable sizes. Slightly arcuate elongated phytoliths with more or less parallel long sides are also included. L:W is characteristically is greater or equal to 2. The margins are smooth, without distinct projections or indentations, but sometimes slightly uneven or velloate, corresponding to the inter-section of formerly adjacent cells. Ends can be concave, convex, straight, rounded or tapering. Their transverse section can range from angular (e.g., rectangular) or circular to oblong in shape. Thickness can range from thinly tabular to robustly thick. Their surface texture can range from psilate to granulate. Often observed as single cells, but also occurring articulated, arranged in parallel or longitudinal consecutive patterns.	Celine Kerfant		Rods with smooth outlines	Baker, 1960	Cylindroid, rod	Parry and Smithson, 1964; Rovner, 1983	Elongate smooth	Twiss et al., 1969, 4a		phytolith		
phytolith:PHYTOLITH_0000010	elongate sinuate	Tabular,  with  an  overall  rectilinear  to  nearly  rectilinear  2D  outline. L:W  is  greater  or  equal  to  2. The  margins  of  the  long  sides (rarely  the  short  sides)  are  distinctly  sinuate,  with  alternating  convexities and  concavities. The  amplitude  and  periodicity  of  the  undulating  concavities  and  convexities  are  variable  and  can  be  regular  or  irregular. Undulations  can  range  from  slightly  too  well  developed,  in  the latter  case  sometimes  becoming  clavate  to  columnar  to  castellate.  Surface  texture  can  vary  widely  including  psilate,  granulate,  papillar,  and  striate. Often  observed  as single cells, but  also  occurring  articulated.	Celine Kerfant		Elongate thin sinuous (1A1)	Brown, 1984, Fig. 1, 1A1a & c	Sheet element, margin sinuous	Kaplan et al., 1992, p. 157, type Ia; Figs. 8.2 A, B	Sheet element, margin undulate-interlocking	Kaplan et al., 1992, p. 157, type Ie: Figs. 8.3 A, B		phytolith		
phytolith:PHYTOLITH_0000011	elongate dendate	Elongated,  with  a  rectilinear  to  nearly  rectilinear  2D  outline.  L:W  is  greater  or  equal  to  2.  The  margins  of  the  long  side  (rarely,  if  ever  on  the  short  side)  in  2D  view  are  dentate,  i.e.  they  have  acute,  sometimes  carinate  projections. Their  thickness  can  range  from  thinly  tabular  to  robustly  thick.  Surface  texture  is  typically  psilate,  but  sometimes  granulate,  or papillar.  Often  observed  as  single  cells,  but  also  occurring  articulated.	Celine Kerfant		Elongate spiny with pavement	Twiss et al., 1969, Fig. 2.4c, d	Intercellular silica	Geis, 1978, Plate 5F-H	Plate elongate thick rounded top with pointed or rounded edges projections	Brown 1984, Fig. 1, IA2a		phytolith		
phytolith:PHYTOLITH_0000012	elongate dentritic	Elongate, with a rectilinear to nearly rectilinear 2D outline. L:W is greater or equal to 2. Elongate dentritic typically have branched processes extending laterally away from both of their longer sides. Processes may also be observed extending laterally from the shorter ends of the phytolith.sides. Though typically branched, the processes may range from branched once or multiple times to unbranched (i.e., dentate) on a single phytolith. The apices of the processes range from rounded to acute or dentate. Surface texture psilate to papillar	Celine Kerfant		Dendriform (opals)	Parry and Smithson, 1966	Surface with protuberances branched dendritically (Ii)	Kaplan et al., 1992, Fig. 8.4	Sinuous-walled long cells	Hodson and Sangster, 1988, Figs. 29, 30, 34, 43		phytolith		
phytolith:PHYTOLITH_0000013	tracheary	Shape varies from being more or less cylindric and elongate to more compact and polyhedral. Cylindric elongate bodies range from being relatively straight, with consistent diameter and unbranched to being any or all of irregular, ellipsoidal, brachiform, and having soft facets. Ends can be straight, rounded, or pointed/tapering. Phytoliths can consist of one or multiple of these bodies in articulation. The characteristic feature of the morphotype is the surface decoration. In TRACHEARY ANNULATE/HELICAL this consists of ring-to helical-shaped ridges arranged perpendicular to the long axis, more  or less regularly and densely distributed over the entire phytolith and appearing in side view as castellate protrusions at the long edges. In TRACHEARY PITTED, surface decoration consists of circular to oval projections in surface view, more or less densely distributed on the surface. In closer 3D-view these projections can show some variation, e.g. pilate, gibbate, or tuberculate, but never dendritic. They can be regularly arranged in vertical rows along the length of the phytolith or be less regularly arranged. In TRACHEARY BORDERED, surface decoration is characterized by small (2-4 microns), convex discs with a centrally located, nipple-like knob that are commonly found in pairs on either side of the surface of the body as a whole, sometimes in addition to annulate/helical ridges. Included in TRACHEARY are also transitional forms, for example morphotypes in which the ridges do not encircle the cylinder, but appear as narrow ellipses or oblong shapes on the surface of the body (oriented perpendicular to the long axis), as well as forms that are both annulate/helical and pilate. If a subtype cannot be clearly identified, the more general name TRACHEARY should be given.The silicification of the TRACHEARY as a whole ranges from a thin interior layer with a hollow center to a completely infilled body. 	Celine Kerfant		TRACHEARY ANNULATE/HELICAL: Silicified vascular cell	Geis, 1973, Figs. 49-51; Geis, 1978, Plate 5A	Single tracheary element	Geis 1978, Plate 5B	Xylem vessel	Geis, 1978, Plate 5C		phytolith		
phytolith:PHYTOLITH_0000014	saddle	Symmetrical morphotype described as resembling a saddle (e.g., Metcalfe, 1960) or a battle axe with double edges (Prat, 1948), in planar view consisting of two more or less convex faces connected by concave faces. In side view, both IPS and OPS are concave; in end view, IPS and OPS are and shape, giving the body nearly three planes of symmetry. SADDLE encompasses morphotypes with the convex faces (slightly) shorter than, or equal to thetypically convex. In planar view, IPS and OPS have the same, or nearly the same, size concave faces, sometimes referred to as tall saddle, as well as forms with longer convex faces, so-called squat saddles (Piperno and Pearsall, 1998: Figs. 18-20).	Celine Kerfant		Saddle-shaped (in part)	Metcalfe, 1960, Fig. I 9 (iv)-(viii)	Chloridoid Class 2a-b, in  part)	Twiss et al., 1969, Fig. 2	Doliolita (at least in part)	Bertoldi de Pomar, 1971, 323, Clave grafica		phytolith		
phytolith:PHYTOLITH_0000015	bilobate	Morphotype whose OPS consists of two lobes separated by two indentations or a distinct castula, with length greater than or equal to 1.3 the width of the lobes (planar view). OPS ends convex, straight, or concave (planar view). IPS variable in shape (bilobate, angular, to carinate in IPS view), size relative to OPS, and degree and type of ornamentation (e.g., ridges, tubercles). Thickness variable.	Celine Kerfant		Dumb-bell shaped, Oryza type	Metcalfe, 1960, Figs. IA.17-18, IB.19-23	Panicoid Class: Dumbbell (3c-3f)	Twiss et al., 1969, Fig. 2	Halteriolita variants 4-12	Bertoldi de Pomar, 1971, Clave grafica, p.323		phytolith		
